VOLCANX020,NUMBER,NAME,LOCATION,STATUS,ELEV,TYPE,TIMEFRAME,LAT,LON
556.000000000000000,1203-08-,Lassen Volc Center,US-California,Historical,3187.000000000000000,Stratovolcano,D2,40.4919014,-121.5009995
557.000000000000000,1203-10-,Clear Lake,US-California,Holocene,1439.000000000000000,Volcanic field,U,38.9698982,-122.7710037
558.000000000000000,1206-01-,Steamboat Springs,US-Nevada,Pleistocene-Fumarolic,1415.000000000000000,Lava domes,Q,39.3749008,-119.7210007
560.000000000000000,1208-01-,Dotsero,US-Colorado,Radiocarbon,2230.000000000000000,Maar,D7,39.6500015,-107.0309982
561.000000000000000,1203-11-,Mono Lake Volc Field,US-California,Tephrochronology,2121.000000000000000,Cinder cones,D4,37.9999008,-119.0309982
562.000000000000000,1207-05-,Black Rock Desert,US-Utah,Radiocarbon,1800.000000000000000,Volcanic field,D6,38.9700012,-112.5009995
563.000000000000000,1203-12-,Mono Craters,US-California,Radiocarbon,2796.000000000000000,Lava domes,D6,37.8799019,-119.0009995
564.000000000000000,1203-13-,Inyo Craters,US-California,Radiocarbon,2629.000000000000000,Lava domes,D6,37.6918983,-119.0210037
565.000000000000000,1203-14-,Long Valley,US-California,Pleistocene-Fumarolic,3390.000000000000000,Caldera,Q,37.6999016,-118.8710022
566.000000000000000,1203-15-,Red Cones,US-California,Radiocarbon,2748.000000000000000,Cinder cones,D7,37.5798988,-119.0510025
568.000000000000000,1203-16-,Ubehebe Craters,US-California,Anthropology,752.000000000000000,Maars,D7,37.0199013,-117.4509964
569.000000000000000,1207-04-,Markagunt Plateau,US-Utah,Dendrochronology,2840.000000000000000,Volcanic field,D6,37.5800018,-112.6709976
570.000000000000000,1207-01-,Santa Clara,US-Utah,Holocene?,1465.000000000000000,Volcanic field,?,37.2570000,-113.6210022
571.000000000000000,1207-03-,Bald Knoll,US-Utah,Holocene,2135.000000000000000,Cinder cones,U,37.3279991,-112.4010010
572.000000000000000,1203-17-,Golden Trout Creek,US-California,Tephrochronology,2886.000000000000000,Volcanic field,D7,36.3578987,-118.3209991
574.000000000000000,1203-18-,Coso Volc Field,US-California,Holocene?,2400.000000000000000,Lava domes,?,36.0298996,-117.8209991
576.000000000000000,1209-01-,Uinkaret Field,US-Arizona,Anthropology,1555.000000000000000,Volcanic field,D6,36.3800011,-113.1309967
579.000000000000000,1203-19-,Lavic Lake,US-California,Holocene?,1495.000000000000000,Volcanic field,?,34.7500000,-116.6210022
580.000000000000000,1210-03-,Valles Caldera,US-New Mexico,Pleistocene-Fumarolic,3430.000000000000000,Caldera,Q,35.8699989,-106.5709991
581.000000000000000,1209-02-,Sunset Crater,US-Arizona,Dendrochronology,2447.000000000000000,Cinder cone,D6,35.3699989,-111.5009995
584.000000000000000,1203-20-,Amboy,US-California,Holocene,288.000000000000000,Cinder cone,U,34.5499992,-115.7809982
586.000000000000000,1210-02-,Zuni-Bandera,US-New Mexico,Anthropology,2550.000000000000000,Volcanic field,D7,34.7999992,-108.0009995
588.000000000000000,1210-01-,Carrizozo,US-New Mexico,Holocene,1731.000000000000000,Cinder cone,U,33.7801018,-105.9309998
601.000000000000000,1301-01-,Etna,Italy,Historical,3326.000000000000000,Stratovolcano,D3,37.7550000,14.9950000
602.000000000000000,1301-02-,Vesuvius,Italy,Historical,1281.000000000000000,Stratovolcano,D3,40.8210000,14.4260000
603.000000000000000,1301-03-,Kilimanjaro,Tanzania,Historical,5895.000000000000000,Stratovolcano,D2,-3.0670000,37.3550000
604.000000000000000,1301-04-,Merapi,Indonesia,Historical,2930.000000000000000,Stratovolcano,D1,-7.5400000,110.4420000
605.000000000000000,1301-05-,Fujisan,Japan,Historical,3776.000000000000000,Stratovolcano,D3,35.3600000,138.7300000
606.000000000000000,1301-06-,Krakatau,Indonesia,Historical,813.000000000000000,Caldera,D3,-6.1020000,105.4230000
607.000000000000000,1301-07-,Eyjafjallajökull,Iceland,Historical,1651.000000000000000,Stratovolcano,D3,63.6310000,-19.6200000
608.000000000000000,1301-08-,Piton de la Fournaise,Reunion Island,Historical,2632.000000000000000,Shield volcano,D1,-21.2440000,55.7080000
609.000000000000000,1301-09-,Popocatépetl,Mexico,Historical,5426.000000000000000,Stratovolcano,D3,19.0230000,-98.6220000
610.000000000000000,1301-10-,Aconcagua,Argentina,Historical,6960.000000000000000,Stratovolcano,D2,-32.6530000,-70.0100000
611.000000000000000,1301-11-,Cotopaxi,Ecuador,Historical,5897.000000000000000,Stratovolcano,D2,-0.6770000,-78.4360000
612.000000000000000,1301-12-,Soufrière Hills,Montserrat,Historical,915.000000000000000,Stratovolcano,D1,16.7160000,-62.1830000
613.000000000000000,1301-13-,Tongariro,New Zealand,Historical,1978.000000000000000,Stratovolcano,D3,-39.1250000,175.6420000
614.000000000000000,1301-14-,Tambora,Indonesia,Historical,2850.000000000000000,Stratovolcano,D1,-8.2500000,118.0000000
615.000000000000000,1301-15-,Mauna Loa,Hawaii,Historical,4169.000000000000000,Shield volcano,D1,19.4750000,-155.6080000
616.000000000000000,1301-16-,Nyiragongo,DR Congo,Historical,3470.000000000000000,Stratovolcano,D3,-1.5210000,29.2490000
617.000000000000000,1301-17-,Elbrus,Russia,Historical,5642.000000000000000,Stratovolcano,D2,43.3550000,42.4370000
618.000000000000000,1301-18-,Pico de Orizaba,Mexico,Historical,5636.000000000000000,Stratovolcano,D2,19.0300000,-97.2700000
619.000000000000000,1301-19-,Agung,Indonesia,Historical,3031.000000000000000,Stratovolcano,D1,-8.3420000,115.5080000
620.000000000000000,1301-20-,Santa María,Guatemala,Historical,3772.000000000000000,Stratovolcano,D2,14.7560000,-91.5520000
